ASN,domains
62976,12091
212477,12070
51847,12050
55017,12049
31463,12003
44546,11964
198921,11962
8437,11960
7489,11926
13886,11915
49467,11880
13036,11870
44901,11850
203412,11848
56040,11827
9145,11775
203248,11757
3741,11708
12470,11641
26277,11626
196922,11608
8304,11602
47764,11601
12703,11571
11320,11571
47215,11570
64439,11557
36489,11538
6700,11522
30900,11521
47810,11513
59939,11508
60591,11493
30811,11450
36874,11443
205072,11429
205206,11419
22878,11400
60404,11399
62068,11373
40824,11371
28216,11366
1764,11360
29695,11314
21350,11312
329166,11302
6057,11302
5432,11291
6805,11287
35366,11280
48823,11265
43811,11246
9063,11226
4750,11222
23764,11208
137702,11184
207829,11163
209155,11155
10310,11091
9924,11080
29636,11039
8612,11033
16844,11032
393245,11025
134823,11014
25875,11014
2497,10992
13008,10987
395793,10962
23881,10958
11989,10933
29729,10917
216263,10911
54456,10911
262954,10909
200651,10882
15510,10879
63759,10857
28855,10837
51561,10833
25198,10767
15576,10755
39591,10732
141159,10667
11878,10661
24875,10654
5693,10643
202492,10639
4816,10630
208689,10629
30870,10596
199524,10571
50448,10570
29028,10568
30176,10562
20746,10489
29686,10476
48753,10416
5048,10416
20495,10369
45815,10364
20546,10351
30860,10349
210388,10346
29551,10292
210574,10285
131745,10268
35174,10256
14259,10225
61272,10224
38926,10223
56582,10213
54489,10186
400536,10158
3258,10156
134762,10151
39605,10137
44133,10122
50939,10102
35592,10044
150142,10039
28701,10032
48678,10016
40819,10010
10843,9967
6128,9962
395409,9960
34087,9956
141356,9942
49101,9940
9381,9939
46573,9922
9443,9909
201295,9882
15566,9811
49073,9804
42337,9783
328170,9736
33771,9727
33494,9726
47527,9718
58224,9705
46003,9702
46469,9683
205654,9669
133643,9631
42532,9627
61055,9624
3249,9610
719,9603
215269,9589
3243,9567
136258,9554
13287,9548
197071,9541
14230,9536
135061,9529
131386,9503
38220,9488
211183,9471
26481,9454
62563,9447
61112,9394
38843,9394
263753,9389
12676,9385
19373,9374
31543,9343
50266,9289
397563,9241
5410,9221
201814,9174
198949,9173
34412,9117
2119,9114
16735,9110
20676,9106
58404,9082
59834,9081
265262,9058
396362,9037
50941,9032
38767,9012
61098,8998
1103,8992
206991,8975
400724,8973
18013,8961
45352,8951
4764,8912
207176,8903
210977,8894
41508,8885
266855,8846
62804,8840
12414,8835
6696,8821
35779,8816
1221,8816
58621,8802
29413,8792
42960,8781
210379,8772
4230,8768
133070,8759
25184,8758
33363,8745
31492,8725
786,8704
8151,8697
4581,8691
204119,8683
29024,8669
45504,8659
8859,8659
12731,8644
7545,8639
328853,8624
137443,8598
12479,8587
48551,8582
55470,8564
14361,8532
5404,8523
6079,8519
51430,8509
138358,8501
13030,8496
147296,8473
262287,8459
26383,8459
19905,8458
56201,8452
142594,8437
13897,8433
204074,8429
56457,8424
51275,8423
25653,8403
200960,8400
13414,8397
133073,8377
46450,8350
20545,8348
137718,8319
10010,8281
8069,8275
60494,8258
137427,8248
47625,8235
9198,8208
132198,8206
24958,8204
12350,8189
8823,8174
45996,8173
19148,8167
16138,8166
7488,8166
131447,8164
140576,8152
202516,8149
15924,8146
60077,8139
14315,8130
6908,8119
50261,8083
201233,8079
15388,8077
266618,8076
135917,8072
137035,8055
56971,8053
202054,8036
60330,8007
2611,8005
147303,7994
29988,7977
50343,7972
13101,7962
14745,7929
51483,7910
4618,7875
57230,7875
136038,7873
16086,7844
11139,7842
48815,7840
197308,7826
37159,7825
401120,7824
136727,7824
50113,7821
150436,7814
49801,7809
54163,7808
45668,7807
14340,7805
152156,7798
200128,7792
50562,7759
20811,7758
202509,7755
33322,7750
43641,7726
39287,7692
5610,7669
214673,7661
57687,7643
25773,7631
34309,7630
133776,7616
9183,7612
21554,7607
9714,7605
62240,7602
49352,7602
34568,7586
202468,7583
49666,7581
11845,7575
132372,7564
212215,7540
51718,7538
12360,7531
53861,7529
328172,7507
54574,7491
131224,7476
137331,7472
17408,7463
12931,7449
34081,7442
57286,7432
51431,7426
211993,7419
41887,7416
9125,7406
42864,7364
49457,7333
10668,7310
213802,7299
33398,7294
206996,7271
5511,7260
56740,7256
15317,7254
63902,7236
8875,7227
64236,7187
38690,7183
45237,7181
8368,7178
212552,7164
6181,7157
19108,7154
5769,7153
146993,7149
18182,7144
12693,7140
35876,7119
11831,7116
24560,7116
202207,7108
51107,7102
17621,7100
45014,7093
202448,7092
34086,7089
57095,7084
3214,7069
138131,6966
34655,6964
207279,6960
36236,6951
63199,6951
207680,6927
26753,6919
142002,6903
15790,6884
205544,6872
202376,6870
50957,6848
39444,6842
34702,6839
6428,6827
42572,6797
12993,6765
4213,6751
34372,6749
49127,6743
197013,6724
15366,6723
201682,6682
19969,6680
48971,6676
42442,6674
327839,6673
208382,6671
15525,6657
51895,6656
199959,6655
8399,6653
395512,6638
198710,6637
329263,6613
26548,6609
15085,6603
4678,6592
11351,6587
1850,6581
47836,6538
13238,6529
56041,6518
25220,6512
42707,6505
33984,6502
202015,6500
2519,6486
16591,6481
53974,6479
32338,6457
153568,6457
34225,6451
45382,6450
60117,6437
202302,6433
8359,6431
12025,6408
150895,6406
54825,6404
912,6383
202984,6382
329206,6381
25260,6380
55081,6367
23661,6367
213921,6361
132241,6357
45731,6349
12348,6343
138608,6340
43773,6311
203087,6307
147181,6305
131486,6303
42655,6295
53479,6290
199907,6290
201011,6288
42159,6281
20141,6266
6799,6263
26529,6260
29468,6251
134238,6249
10439,6238
24642,6237
209042,6234
137962,6234
42160,6231
400463,6222
39368,6209
134764,6202
136190,6200
141679,6191
131423,6162
200484,6156
38001,6150
2200,6138
48737,6130
63940,6110
40838,6090
11402,6075
23884,6075
153393,6074
55045,6074
10732,6066
213250,6055
211582,6053
132111,6033
34953,6001
25400,6001
63018,5975
9099,5957
