asn,vri_count
AS200376,1
AS60138,6
AS204834,29
AS41689,27
AS39074,97
AS58142,1
AS208593,1
AS208412,2
AS200645,7
AS200370,25
AS213155,9
AS39642,42
AS50719,3
AS47674,19
AS49349,19
AS206262,75
AS57332,10
AS21497,18
AS51074,13
AS215859,2
AS198411,1
AS15879,35
AS931,127
AS49765,84
AS12741,138
AS29007,5
AS200092,1
AS197812,1
AS25369,234
AS58299,15
AS21119,16
AS43578,30
AS32875,7
AS34587,15
AS58431,5
AS397192,8
AS154049,202
AS4637,671
AS152179,86
AS137517,41
AS42610,32
AS34899,2
AS57565,1
AS59592,32
AS211780,6
AS214199,3
AS31530,1
AS48039,1
AS48835,1
AS62403,5
AS213495,8
AS214127,2
AS209824,19
AS63473,108
AS6517,6
AS134465,10
AS200275,1
AS210705,9
AS215439,53
AS214079,5
AS215590,50
AS204268,4
AS1257,423
AS15895,31
AS980,6
AS42277,11
AS41369,14
AS12714,388
AS8560,204
AS44725,2
AS48166,10
AS59674,20
AS57922,4
AS57152,64
AS57610,3
AS215927,12
AS200497,6
AS47913,13
AS59796,31
AS201548,2
AS41849,9
AS35762,1
AS41071,11
AS20860,67
AS21859,652
AS205886,352
AS209910,18
AS216385,2
AS211522,80
AS198920,1
AS8405,10
AS49065,1
AS61221,13
AS207813,1
AS215826,23
AS43950,13
AS32181,44
AS24921,57
AS43273,4
AS15377,15
AS211415,46
AS212301,7
AS198187,59
AS61362,1
AS44599,2
AS39083,5
AS50801,5
AS41497,7
AS58327,28
AS51487,6
AS202602,8
AS208006,16
AS209459,5
AS61112,121
AS207994,10
AS25693,28
AS211826,36
AS209301,1
AS8100,82
AS211642,9
AS213438,29
AS133448,29
AS61138,69
AS215081,12
AS399114,9
AS15695,127
AS212954,5
AS30707,3
AS211261,16
AS209448,1
AS209447,1
AS209435,1
AS8426,110
AS24768,58
AS34643,1
AS214172,5
AS216475,13
AS197715,12
AS42263,12
AS20836,16
AS44084,5
AS29081,7
AS209441,4
AS49781,1
AS48551,42
AS205659,44
AS198050,7
AS211683,1
AS216226,2
AS58087,40
AS47123,57
AS43872,19
AS3223,125
AS39743,4
AS60118,6
AS213195,7
AS199205,2
AS12688,8
AS31272,15
AS213301,29
AS211420,1
AS60222,1
AS204963,4
AS201887,1
AS34700,10
AS7131,130
AS15169,1882
AS13781,19
AS989,10
AS31775,16
AS26959,2
AS994,1
AS1340,8
AS26630,7
AS30305,7
AS31874,3
AS55155,3
AS32696,6
AS11178,6
AS25623,8
AS394161,21
AS22147,11
AS22898,18
AS26114,23
AS13984,30
AS936,1
AS25871,4
AS27447,2
AS13458,1
AS16491,21
AS20166,2
AS394973,8
AS22469,2
AS399654,2
AS393795,1
AS395547,2
AS13727,7
AS396146,1
AS17639,1039
AS14184,1
AS395290,3
AS40274,1
AS399734,5
AS37963,174
AS264646,13
AS263756,6
AS272106,5
AS273237,6
AS19281,13
AS19901,69
AS33659,3375
AS11404,365
AS131111,164
AS6269,1
AS17117,19
AS22249,1
AS6195,13
AS394553,1
AS397593,7
AS399761,5
AS399240,5
AS33598,11
AS401791,1
AS54131,3
AS134537,1
AS32258,2
AS2386,19
AS18540,10
AS109,20
AS393485,2
AS15253,1
AS26842,6
AS400210,2
AS36105,9
AS401691,1
AS4354,1
AS30572,1
AS395742,1
AS399276,1
AS8068,146
AS14340,57
AS22606,7
AS55391,9
AS24088,19
AS38819,149
AS55392,8
AS10000,21
AS45437,14
AS46844,26
AS45177,39
AS45700,8
AS14593,94
AS139009,60
AS9541,340
AS134929,3
AS134881,7
AS17882,163
AS45960,232
AS4685,64
AS2516,457
AS131927,3
AS23624,2
AS131933,3
AS24279,9
AS151387,3
AS17762,123
AS55441,27
AS45820,446
AS137076,3
AS134540,143
AS55740,14
AS9506,516
AS45143,91
AS18046,72
AS18002,158
AS133594,47
AS43700,14
AS54339,128
AS201949,5
AS135873,4
AS151552,3
AS133182,4
AS8881,412
AS45117,342
AS64073,37
AS35600,11
AS7600,32
AS45352,128
AS55653,7
AS134143,14
AS135025,11
AS134316,32
AS23470,238
AS53107,43
AS215724,18
AS30644,7
AS48925,33
AS396998,39
AS211091,6
AS142036,46
AS4811,41
AS137718,15
AS142565,10
AS136246,9
AS10013,342
AS18126,25
AS9269,63
AS9381,248
AS10103,109
AS55850,35
AS135409,13
AS4826,165
AS9443,68
AS55847,24
AS55824,348
AS4758,114
AS10199,38
AS6421,55
AS18221,1
AS45899,197
AS18229,385
AS150008,147
AS400619,66
AS18013,92
AS55020,57
AS138995,282
AS135026,17
AS139490,281
AS58725,7
AS150576,5
AS45916,126
AS152700,12
AS395793,516
AS135772,25
AS17551,41
AS131934,12
AS133933,43
AS45814,62
AS208185,81
AS154198,7
AS153844,6
AS3491,99
AS9534,100
AS4721,57
AS9824,142
AS7545,66
AS131445,274
AS45458,274
AS138344,3
AS133481,198
AS45629,31
AS45758,34
AS135905,52
AS3360,477
AS7057,8
AS20055,107
AS19047,38
AS22149,2
AS399185,3
AS400624,9
AS8635,4
AS210873,7
AS1033,3
AS1034,1
AS397363,3
AS60410,1
AS7843,288
AS20115,2904
AS19115,70
AS10796,644
AS33363,923
AS22516,362
AS400737,2
AS8070,43
AS17916,3
AS4237,15
AS12252,8
AS23693,909
AS2860,140
AS9498,842
AS35994,474
AS27789,13
AS4761,232
AS24319,218
AS18717,10
AS7713,1246
AS8781,165
